OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
OTU_7811	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Neodevriesiaceae	Neodevriesia		Fungi	99.787	92
OTU_7812	Fungi							Viridiplantae	99.507	97
OTU_7813	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium		Fungi	99.563	91
OTU_7814	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae			Viridiplantae	99.487	90
OTU_7815	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae			Fungi	97.713	98
OTU_7816	Fungi	Ascomycota	Leotiomycetes	Helotiales					0	0
OTU_7817	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae			Fungi	97.505	98
OTU_7818	Fungi	Ascomycota	Sordariomycetes	Sordariales	Neoschizotheciaceae	Apodus		Fungi	99.565	92
OTU_7819	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Pyrenotrichaceae	Neophaeococcomyces	Neophaeococcomyces aloes	Fungi	98.579	93
OTU_7820	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales				Viridiplantae	98.230	94
OTU_7821	Fungi	Basidiomycota	Agaricomycetes					Viridiplantae	99.194	94
OTU_7822	Fungi	Basidiomycota	Agaricomycetes					Viridiplantae	99.516	94
OTU_7823	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae			Fungi	98.337	98
OTU_7824	Fungi	Ascomycota	Lichinomycetes	Lichinales	Peltulaceae	Peltula	Peltula polyphylla	Viridiplantae	98.758	95
OTU_7825	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae			Fungi	94.894	87
OTU_7826	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pyrenochaetopsidaceae	Pyrenochaetopsis		Fungi	93.519	88
OTU_7827	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium		Fungi	99.563	91
OTU_7828	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma		Fungi	95.973	99
OTU_7829	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	98.501	85
OTU_7830	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	97.196	100
OTU_7831	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	97.006	93
OTU_7832	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium aquadulcis	Fungi	96.289	100
OTU_7833	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma			0	0
OTU_7834	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		Fungi	98.185	93
OTU_7835	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus ruber	Fungi	93.663	100
OTU_7836	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus ruber	Fungi	95.455	100
OTU_7837	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus insuetus	Fungi	93.306	94
OTU_7838	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	96.449	100
OTU_7839	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	95.379	100
OTU_7840	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	92.534	100
OTU_7841	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	93.688	100
OTU_7842	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	93.680	100
OTU_7843	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinelloides	Fungi	99.273	93
OTU_7844	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	92.702	100
OTU_7845	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia		Fungi	98.377	95
OTU_7846	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		Fungi	94.141	88
OTU_7847	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	99.578	89
OTU_7848	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	94.071	94
OTU_7849	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor inaequisporus	Fungi	99.055	93
OTU_7850	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		Fungi	92.803	90
