Timestamp	Sample prefix	Sample number	Sample_name_desc	Collector	Broad-scope substrate	Lat-Long	Sample description	Item (sink, toilet, P-trap, etc.) 	Volume	Column 9	Sample description	Flow rate (LPM)	Sampling time (min)	Sample description	Plant species	Sampling method	Organs sampled	Site description	Sampling method	Sampling area (cm^2)	Substrate description	Substrate description 	Depth minimum (cm)	Depth maximum (cm)	Vegetation	Material
1/17/2025 18:10:50	NC25	158	VP_WOOD_FLOOD-1	Vesper Fraunfelter	Built surface	35.6084815, -82.3371505													Swab	100	Flooded wood beam					Wood
1/17/2025 18:13:35	NC25	167	VP_PAPER_MUDDY-1	Vesper Fraunfelter	Built surface	35.6084815, -82.3371505													Swab	50	Cardboard box in cabinet, dry, layer of dust/mud.					Paper
1/17/2025 19:03:00	NC25	172	VP_PVC_FLOOD-1	Vesper Fraunfelter	Built surface	35.6081050, -82.3381995													Swab		PVC pipe, outer					Plastic
1/17/2025 18:12:56	NC25	176	VP_METAL_DRY-1	Andrew Jones	Built surface	35°36′29″ N  82°20′13″ W													Swab		Second floor concession stand vertical beam					Metal
1/17/2025 18:08:49	NC25	180	VP_CINDERBLOCK_DRY-1	Vesper Fraunfelter	Built surface	35.6084815, -82.3371505													Swab	100	Cinderblock wall inside concession stand, 8ft above ground, inside, possible mold					Concrete
1/17/2025 18:05:38	NC25	202	VP_MUD_OUTSIDE-1	Erica Washington	Indoor mud	35°36′31″ N  82°20′14″ W								Mud outside concession 												Soil
1/17/2025 18:04:53	NC25	203	VP_MUD_TOLIET-1	Erica Washington	Indoor mud 	35°36′31″ N  82°20′14″ W								Mud inside toilet concession stand												Soil
1/17/2025 17:48:33	NC25	204	VP_MUD_PLAYGROUND-1	Erica Washington	Soil	35°36′28″ N  82°20′20″ W																Mud inside Playground 			None	Soil
1/17/2025 17:51:27	NC25	204	VP_MUD_PLAYGROUND-2	Erica Washington	Soil	35°36′28″ N  82°20′20″ W																Playground mud			No	Soil
1/17/2025 17:14:04	NC25	208	GLF_DWNSTRM_16M_RIVERDIST_2M_0CM	Julian Liber	Soil	35.6231907, -82.3303913																Lawn, 2 m from creek, vegetation, next to sediment 	0	2	Turf, clover 	Soil
1/17/2025 17:12:05	NC25	209	GLF_DWNSTRM_16M_RIVERDIST_2M_2CM	Julian Liber	Soil	35.6231907, -82.3303913																Lawn, 2 m from creek, vegetation, next to sediment 	2	10	Turf, clover 	Soil
1/17/2025 17:10:34	NC25	210	GLF_DWNSTRM_16M_RIVERDIST_2M_10CM	Julian Liber	Soil	35.6231907, -82.3303913																Lawn, 2 m from creek, vegetation, next to sediment 	10	12	Turf, clover 	Soil
1/17/2025 17:05:23	NC25	211	GLF_DWNSTRM_0M_RIVERDIST_58M_2CM	Julian Liber	Soil	35.6235801, -82.3299464																Lawn, 58m from creek, 6m from end of culvert	2	6	Turf, clover, chickweed 	Soil
1/17/2025 17:02:55	NC25	212	GLF_UPSTRM_10M_RIVERDIST_58M_2CM	Julian Liber	Soil	35.6238717, -82.3301308																Lawn, near road, 190ft from creek	2	6	Turf, clover	Soil
